HCI Lecture Interaction Questionnaire
I enjoy interactive activities in lectures.
Agree,Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Strongly Agree,Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Disagree,Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
Strongly Agree,Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
Strongly Agree,Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
Strongly Agree,Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Strongly Agree,Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
Strongly Agree,Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
Agree,Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
Strongly Agree,Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
Strongly Agree,Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Neutral,Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Strongly Agree,Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Neutral,Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
Strongly Agree,Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
Agree,Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
Strongly Agree,Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
Agree,Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
Strongly Agree,Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
Strongly Agree,Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Agree,Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
Strongly Agree,Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
Disagree,Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
Strongly Agree,Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
Agree,Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
Strongly Agree,Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
Strongly Agree,Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
Agree,Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
Strongly Agree,Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
Agree,Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Strongly Agree,Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
Strongly Disagree,Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Strongly Agree,Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Strongly Agree,Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
I usually watch lectures online
Response,Via,Screen name,Registered participant,Created At
Neutral,Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Disagree,Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Neutral,Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
Disagree,Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
Strongly Disagree,Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
Disagree,Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Strongly Disagree,Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
Disagree,Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
Strongly Disagree,Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
Neutral,Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
Neutral,Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Agree,Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Disagree,Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Strongly Agree,Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
Strongly Disagree,Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
Disagree,Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
Strongly Disagree,Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
Disagree,Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
Neutral,Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
Neutral,Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Strongly Disagree,Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
Disagree,Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
Disagree,Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
Disagree,Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
Disagree,Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
Neutral,Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
Disagree,Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
Disagree,Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
Disagree,Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
Agree,Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Disagree,Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
Strongly Agree,Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Strongly Disagree,Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Neutral,Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
Select the interactive activities you prefer:
Response,Via,Screen name,Registered participant,Created At
Poll Everywhere activities,Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Catch box discussions,Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Poll Everywhere activities,Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
Poll Everywhere activities,Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
Live coding discussions,Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
Live coding discussions,Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Poll Everywhere activities,Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
Poll Everywhere activities,Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
Live coding discussions,Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
Catch box discussions,Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
Poll Everywhere activities,Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Poll Everywhere activities,Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Catch box discussions,Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Poll Everywhere activities,Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
Catch box discussions,Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
Catch box discussions,Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
Poll Everywhere activities,Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
Poll Everywhere activities,Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
Live coding discussions,Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
Poll Everywhere activities,Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Poll Everywhere activities,Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
Catch box discussions,Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
Live coding discussions,Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
Poll Everywhere activities,Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
Poll Everywhere activities,Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
Catch box discussions,Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
Poll Everywhere activities,Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
Live coding discussions,Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
Poll Everywhere activities,Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
Catch box discussions,Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Poll Everywhere activities,Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
Catch box discussions,Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Catch box discussions,Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Poll Everywhere activities,Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
What kind of degree program are you in?
Response,Via,Screen name,Registered participant,Created At
Postgraduate student (Master degree),Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
Postgraduate student (Master degree),Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
Postgraduate student (Master degree),Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
Postgraduate student (Master degree),Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Postgraduate student (Master degree),Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Postgraduate student (Master degree),Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Postgraduate student (Master degree),Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
Postgraduate student (Master degree),Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
Postgraduate student (Master degree),Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Postgraduate student (Master degree),Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
Postgraduate student (Master degree),Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
Postgraduate student (Master degree),Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
Postgraduate student (Master degree),Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
Postgraduate student (Master degree),Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Postgraduate student (Master degree),Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Postgraduate student (Master degree),Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Undergraduate student (Bachelor degree),Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
How long have you lived in Canberra?
Response,Via,Screen name,Registered participant,Created At
Between 1 and 4 years,Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Between 1 and 4 years,Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Between 1 and 4 years,Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
<1 year,Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
More than 4 years,Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
More than 4 years,Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Between 1 and 4 years,Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
<1 year,Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
More than 4 years,Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
<1 year,Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
<1 year,Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Between 1 and 4 years,Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Between 1 and 4 years,Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Between 1 and 4 years,Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
<1 year,Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
<1 year,Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
More than 4 years,Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
<1 year,Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
<1 year,Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
<1 year,Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Between 1 and 4 years,Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
<1 year,Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
More than 4 years,Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
<1 year,Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
<1 year,Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
More than 4 years,Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
<1 year,Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
More than 4 years,Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
<1 year,Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
More than 4 years,Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Between 1 and 4 years,Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
<1 year,Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Between 1 and 4 years,Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Between 1 and 4 years,Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
